name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Crénilabre à 5 bandes,Five-spotted wrasse,Symphodus roissali,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,2384006
Crénilabre paon,East Atlantic peacock wrasse,Symphodus tinca,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,2383970
Crénilabre melops,Corkwing,Symphodus melops,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Symphodus melops,,2383978
Labre palloni,Scale-rayed Wrasse,Acantholabrus palloni,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Brunsnultra.png/120px-Brunsnultra.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Brunsnultra.png/120px-Brunsnultra.png,"Acantholabrus palloni est une espèce de poissons téléostéens (Teleostei), la seule du genre Acantholabrus.",,2383144
Cténolabre,Gold-sinny,Ctenolabrus rupestris,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Ctenolabrus rupestris,,2383163
Labre vert,Green wrasse,Labrus viridis,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Labre vert,,2383648
Merle,Brown wrasse,Labrus merula,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Merle,,2383638
Vieille coquette,Cuckoo wrasse,Labrus mixtus,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Labrus_mixtus_2_by_Line1.jpg/120px-Labrus_mixtus_2_by_Line1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Labrus_mixtus_2_by_Line1.jpg/120px-Labrus_mixtus_2_by_Line1.jpg,La Vieille coquette (Labrus mixtus) est une espèce de poissons de la famille des Labridae.,,2383649
Girelle,African rainbow wrasse,Coris julis,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"La girelle (Coris julis), appelée aussi girelle royale (pour les mâles) ou girelle commune (pour les femelles), est une espèce de poissons de la famille des Labridae.",,5209780
Girelle paon,Ornate wrasse,Thalassoma pavo,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Female_Thalassoma_pavo.JPG/120px-Female_Thalassoma_pavo.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Female_Thalassoma_pavo.JPG/120px-Female_Thalassoma_pavo.JPG,"La Girelle-paon ou Girelle turque (Thalassoma pavo) est une espèce de poissons de la famille des labridés. Cette girelle est hermaphrodite protérogyne, mâle et femelle présentent un dimorphisme sexuel important au niveau de leurs couleurs.
Elle possède un mode de vie et un comportement semblable à Coris julis.",,2384491
