name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Chinchard méditerranéen,,Trachurus mediterraneus,,Carangidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Jurel_mediterr%C3%A1neo_%28Trachurus_mediterraneus%29.jpg/120px-Jurel_mediterr%C3%A1neo_%28Trachurus_mediterraneus%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Jurel_mediterr%C3%A1neo_%28Trachurus_mediterraneus%29.jpg/120px-Jurel_mediterr%C3%A1neo_%28Trachurus_mediterraneus%29.jpg,"Trachurus mediterraneus, le chinchard méditerranéen ou chinchard à queue jaune, est une espèce de poissons marins de la famille des Carangidae.",,
Chinchard,,Trachurus trachurus,,Carangidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Taggmakrill%2C_Nordisk_familjebok.png/120px-Taggmakrill%2C_Nordisk_familjebok.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Taggmakrill%2C_Nordisk_familjebok.png/120px-Taggmakrill%2C_Nordisk_familjebok.png,Chinchard,,
Sériole,,Seriola dumerili,,Carangidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Seriola_rivoliana_by_NPS_1.jpg/120px-Seriola_rivoliana_by_NPS_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Seriola_rivoliana_by_NPS_1.jpg/120px-Seriola_rivoliana_by_NPS_1.jpg,Seriola dumerili,,
Liche glauque,,Trachinotus ovatus,,Carangidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Trachinotus_ovatus_Alonissos.jpg/120px-Trachinotus_ovatus_Alonissos.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Trachinotus_ovatus_Alonissos.jpg/120px-Trachinotus_ovatus_Alonissos.jpg,,,
Liche amie,,Lichia amia,,Carangidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Lichia amia est une espèce de poissons de mer de la famille des Carangidae appelée Liche amie. C'est la seule espèce de son genre Lichia. Ce sont des poissons de grande taille (environ 1 m) présents sur les côtes françaises.,,
Poisson pilote,,Naucrates ductor,,Carangidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Carcharhinus_longimanus_1.jpg/120px-Carcharhinus_longimanus_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Carcharhinus_longimanus_1.jpg/120px-Carcharhinus_longimanus_1.jpg,"Naucrates ductor, communément appelé Poisson-pilote, est une espèce de poissons de la famille des Carangidae qui se rencontre dans tous les océans du globe à une latitude comprise entre 62°N et 43°S. C'est la seule espèce de son genre Naucrates (monotypique).",,
Mendole,,Spicara maena,,Centracanthidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,
Picarel,,Spicara smaris,,Centracanthidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Spicara smaris,,
Cépole,,Cepola macrophthalma,,Cepolidae (poissons),,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Cépole commune,,
Cline argentée,,Clinitrachus argentatus,,Clinidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,
Coryphène,,Coryphaena hippurus,,Coryphaenidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Coryphaena_hippurus_%28adult_male%29.jpg/120px-Coryphaena_hippurus_%28adult_male%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Coryphaena_hippurus_%28adult_male%29.jpg/120px-Coryphaena_hippurus_%28adult_male%29.jpg,"Le coryphène (du grec ancien : κορύφαινα, qui arbore un casque), la dorade coryphène ou mahi-mahi (en Polynésie), est une espèce de poisson que l'on peut trouver dans les régions tropicales et subtropicales de tous les océans, et occasionnellement en mer Méditerranée. C'est un prédateur puissant, prisé dans la pêche au gros. Les anglophones le nomment mahi-mahi, mais également common dolphinfish ou dorado, ce qui peut prêter à confusion.",,
Gobie paganel,,Gobius paganellus,,Gobiidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Gobius paganellus,,
Gobie moucheté,,Gobius bucchichi,,Gobiidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gobius_bucchichi2.jpg/120px-Gobius_bucchichi2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gobius_bucchichi2.jpg/120px-Gobius_bucchichi2.jpg,"Gobius bucchichi, le Gobie moucheté, est une espèce de poissons de la grande famille des Gobiidae.",,
Gobie à grosse tête,,Gobius cobitis,,Gobiidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Gobius cobitis,,
Gobie noir,,Gobius niger,,Gobiidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Gobius_paganellus_by_Line1.jpg/120px-Gobius_paganellus_by_Line1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Gobius_paganellus_by_Line1.jpg/120px-Gobius_paganellus_by_Line1.jpg,"Gobius niger, le gobie noir, est une espèce de poissons osseux de l'ordre des Perciformes, de la famille des Gobiidae, et la sous-famille des Gobiinae.",,
Gobie à joues poreuses,,Gobius geniporus,,Gobiidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Gobius geniporus · Gobie svelte, Gobie génipore",,
Gobie à bouche rouge,,Gobius cruentatus,,Gobiidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Gobie ensanglanté, Gobie à bouche rouge",,
Gobie doré,,Gobius xanthocephalus,,Gobiidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Gobius_xanthocephalus.JPG/120px-Gobius_xanthocephalus.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Gobius_xanthocephalus.JPG/120px-Gobius_xanthocephalus.JPG,"Gobie doré, Gobie à tête jaune",,
Gobie de steinitz,,Gammogobius steinitzi,,Gobiidae,,,"{""salt""}",,,,,,"{AL,DZ,BA,HR,CY,EG,FR,GR,IL,IT,LB,LY,MT,MC,ME,MA,PS,SI,ES,SY,TN,TR}",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,
