name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Aspe,,Aspius aspius,,Cyprinidés,,,,,,,,,,,,,,,,,,Leuciscus aspius,,
Brème du Danube,,Ballerus sapa,,Cyprinidés,,,,,,,,,,,,,,,,,,"Ballerus sapa, la brème du Danube, est une espèce de poissons de la famille des Cyprinidae.",,
Brème bordelière,,Blicca bjoerkna,,Cyprinidés,,,,,,,,,,,,,,,,,,Blicca bjoerkna,,
Able de Heckel,,Leucaspius delineatus,,Cyprinidés,,,,,,,,,,,,,,,,,,L’Able de Heckel (Leucaspius delineatus) est une espèce de petits poissons d'eau douce d'Europe et d'Asie. C'est la seule espèce du genre Leucaspius (monotypique).,,
Épirine lippue,,Pachychilon pictum,,Cyprinidés,,,,,,,,,,,,,,,,,,"Épirine lippue, Cyprin lippu tacheté, Gardon d'Albanie",,
Gardon,,Rutilus rutilus,,Cyprinidés,,,,,,,,,,,,,,,,,,Rutilus rutilus,,
Gardon du Danube,,Rutilus virgo,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Rotengle de Bosnie,,Scardinius dergle,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Rotengle,,Scardinius erythrophthalmus,,Cyprinidés,,,,,,,,,,,,,,,,,,Scardinius erythrophthalmus,,
Vimbe,,Vimba vimba,,Cyprinidés,,,,,,,,,,,,,,,,,,Vimba vimba,,
Pacu noir,,Colossoma macropomum,,Serrasalmidés,,,,,,,,,,,,,,,,,,"Colossoma macropomum est une espèce de poissons américains de la famille des Serrasalmidae communément appelée « pacu » (comme d'autres espèces), « cachama » ou encore « tambaqui » et qui vit dans le bassin de l'Orénoque. Ce poisson, à la chair appréciée et à la croissance rapide, est élevé en pisciculture. C'est la seule espèce de son genre Colossoma (monotypique).",,
Pacu à ventre rouge,,Piaractus brachypomus,,Serrasalmidés,,,,,,,,,,,,,,,,,,Piaractus brachypomus est une espèce amazonienne de poissons d'eau douce de la famille des Serrasalmidae (dont font également partie les piranhas).,,
Poisson-chat commun,,Ameiurus melas,,Ictaluridés,,,,,,,,,,,,,,,,,,"Le poisson-chat commun (Ameiurus melas), appelé aussi chat ou greffier Barbicho, est une espèce de poissons-chats d'eau douce de la famille des Ictaluridés d'origine américaine, mais aujourd'hui répandu en Europe à la suite d'introductions.",,
Silure glane,,Silurus glanis,,Siluridés,,,,,,,,,,,,,,,,,,Silurus glanis,,
Pléco méridional,,Pterygoplichthys anisitsi,,Loricariidés,,,,,,,,,,,,,,,,,,,,
Pléco léopard,,Pterygoplichthys gibbiceps,,Loricariidés,,,,,,,,,,,,,,,,,,Pterygoplichthys gibbiceps est une espèce de poissons-chats d'eau douce de la famille des Loricariidae.,,
Corégone blanc,,Coregonus albula,,Salmonidés,,,,,,,,,,,,,,,,,,Coregonus albula · Petite marène,,
Bézoule,,Coregonus bezola,,Salmonidés,,,,,,,,,,,,,,,,,,Coregonus bezola,,
Corégone de lac,,Coregonus clupeaformis,,Salmonidés,,,,,,,,,,,,,,,,,,Coregonus clupeaformis,,
Corégone clupéoïde,,Coregonus clupeoides,,Salmonidés,,,,,,,,,,,,,,,,,,Le Corégone clupéoïde (Coregonus clupeoides) est une espèce de poissons d'eau douce appartenant à la famille des Salmonidés.,,
Féra du Léman,,Coregonus fera,,Salmonidés,,,,,,,,,,,,,,,,,,Coregonus fera,,
Corégone gravenche,,Coregonus hiemalis,,Salmonidés,,,,,,,,,,,,,,,,,,"Le Corégone gravenche (Coregonus hiemalis) ou Corégone du Léman ou Petite féra était un poisson, faisant partie de la famille des Salmonidés, anciennement présent dans le lac Léman. La sur-pêche, la compétition avec des poissons introduits et la dégradation de la qualité des eaux l'ont fait disparaitre au début du XXe siècle.",,
Corégone lavaret,,Coregonus lavaretus,,Salmonidés,,,,,,,,,,,,,,,,,,Coregonus lavaretus,,
Corégone maraène,,Coregonus maraena,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Bondelle,,Coregonus oxyrinchus,,Salmonidés,,,,,,,,,,,,,,,,,,"Le Corégone oxyrhynque (ou « bondelle, » mais ce nom est aussi donné à d'autres corégones) ou  Coregonus oxyrinchus décrit par Linné en 1758 est une espèce de poissons démersale et migratrice de type « anadrome»  appartenant au genre Coregonus.
Cependant dans les eaux intérieures, une partie de la population des eaux douces (lacs.. )  n'est pas migratrice.",,
Palée,,Coregonus palaea,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Corégone du lac de Constance,,Coregonus wartmanni,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Corégone du lac de Zoug,,Coregonus zugensis,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Huchon,,Hucho hucho,,Salmonidés,,,,,,,,,,,,,,,,,,Saumon du Danube de l'allemand Donaulachs,,
