name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Truite à grosses taches,,Salmo cettii,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Truite du Rhône,,Salmo rhodanensis,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Saumon atlantique,,Salmo salar,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Truite commune,,Salmo trutta,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Omble de fontaine,,Salvelinus fontinalis,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Omble du Canada,,Salvelinus namaycush,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Omble chevalier,,Salvelinus umbla,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Ombre de la Loire,,Thymallus ligericus,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Ombre commun,,Thymallus thymallus,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Éperlan d'Europe,,Osmerus eperlanus,,Osméridés,,,,,,,,,,,,,,,,,,,,
Brochet aquitain,,Esox aquitanicus,,Ésocidés,,,,,,,,,,,,,,,,,,,,
Brochet cisalpin,,Esox cisalpinus,,Ésocidés,,,,,,,,,,,,,,,,,,,,
Grand brochet,,Esox lucius,,Ésocidés,,,,,,,,,,,,,,,,,,,,
Umbre pygmée,,Umbra pygmaea,,Umbridés,,,,,,,,,,,,,,,,,,,,
Poisson-chien,,Umbra krameri,,Umbridés,,,,,,,,,,,,,,,,,,,,
Lote,,Lota lota,,Lotidés,,,,,,,,,,,,,,,,,,,,
Mulet doré,,Chelon auratus,,Mugilidés,,,,,,,,,,,,,,,,,,,,
Mulet lippu,,Chelon labrosus,,Mugilidés,,,,,,,,,,,,,,,,,,,,
Mulet porc,,Chelon ramada,,Mugilidés,,,,,,,,,,,,,,,,,,,,
Mulet sauteur,,Chelon saliens,,Mugilidés,,,,,,,,,,,,,,,,,,,,
Mulet à grosse tête,,Mugil cephalus,,Mugilidés,,,,,,,,,,,,,,,,,,,,
Athérine,,Atherina boyeri,,Athérinidés,,,,,,,,,,,,,,,,,,,,
Aphanius de Corse,,Aphanius fasciatus,,Cyprinodontidés,,,,,,,,,,,,,,,,,,,,
Aphanius d'Espagne,,Aphanius iberus,,Cyprinodontidés,,,,,,,,,,,,,,,,,,,,
Gambusie de l'Ouest,,Gambusia affinis,,Pœciliidés,,,,,,,,,,,,,,,,,,,,
Gambusie de l'Est,,Gambusia holbrooki,,Pœciliidés,,,,,,,,,,,,,,,,,,,,
Cyprinodonte de Valence,,Valencia hispanica,,Valenciidés,,,,,,,,,,,,,,,,,,,,
Épinoche à trois épines,,Gasterosteus aculeatus,,Gastérostéidés,,,,,,,,,,,,,,,,,,,,
Épinochette à queue lisse,,Pungitius laevis,,Gastérostéidés,,,,,,,,,,,,,,,,,,,,
Épinochette,,Pungitius pungitius,,Gastérostéidés,,,,,,,,,,,,,,,,,,,,
Epinochette du Poitou,,Pungitius vulgaris,,Gastérostéidés,,,,,,,,,,,,,,,,,,,,
Syngnathe de rivière,,Syngnathus abaster,,Syngnathidés,,,,,,,,,,,,,,,,,,,,
Chabot du Béarn,,Cottus aturi,,Cottidés,,,,,,,,,,,,,,,,,,,,
Chabot d'Auvergne,,Cottus duranii,,Cottidés,,,,,,,,,,,,,,,,,,,,
Chabot commun,,Cottus gobio,,Cottidés,,,,,,,,,,,,,,,,,,,,
Chabot des Pyrénées,,Cottus hispaniolensis,,Cottidés,,,,,,,,,,,,,,,,,,,,
Chabot fluviatile,,Cottus perifretum,,Cottidés,,,,,,,,,,,,,,,,,,,,
Chabot du Lez,,Cottus petiti,,Cottidés,,,,,,,,,,,,,,,,,,,,
Chabot de Rhénanie,,Cottus rhenanus,,Cottidés,,,,,,,,,,,,,,,,,,,,
Chabot de l'Hérault,,Cottus rondeleti,,Cottidés,,,,,,,,,,,,,,,,,,,,
Chabot savoyard,,Cottus sabaudicus,,Cottidés,,,,,,,,,,,,,,,,,,,,
Blennie fluviatile,,Salaria fluviatilis,,Blenniidés,,,,,,,,,,,,,,,,,,,,
Gobie fluviatile,,Neogobius fluviatilis,,Gobiidés,,,,,,,,,,,,,,,,,,,,
Gobie à tache noire,,Neogobius melanostomus,,Gobiidés,,,,,,,,,,,,,,,,,,,,
Gobie de Kessler,,Ponticola kessleri,,Gobiidés,,,,,,,,,,,,,,,,,,,,
Gobie demi-lune,,Proterorhinus semilunaris,,Gobiidés,,,,,,,,,,,,,,,,,,,,
Gobie tacheté,,Pomatoschistus microps,,Gobiidés,,,,,,,,,,,,,,,,,,,,
Gobie buhotte,,Pomatoschistus minutus,,Gobiidés,,,,,,,,,,,,,,,,,,,,
Crapet de roche,,Ambloplites rupestris,,Centrarchidés,,,,,,,,,,,,,,,,,,,,
Œil de paon,,Centrarchus macropterus,,Centrarchidés,,,,,,,,,,,,,,,,,,,,
Crapet rouge,,Lepomis auritus,,Centrarchidés,,,,,,,,,,,,,,,,,,,,
Perche soleil,,Lepomis gibbosus,,Centrarchidés,,,,,,,,,,,,,,,,,,,,
Crapet à longues oreilles,,Lepomis megalotis,,Centrarchidés,,,,,,,,,,,,,,,,,,,,
Achigan à petite bouche,,Micropterus dolomieu,,Centrarchidés,,,,,,,,,,,,,,,,,,,,
Achigan à grande bouche,,Micropterus salmoides,,Centrarchidés,,,,,,,,,,,,,,,,,,,,
Marigane blanche,,Pomoxis annularis,,Centrarchidés,,,,,,,,,,,,,,,,,,,,
Marigane noire,,Pomoxis nigromaculatus,,Centrarchidés,,,,,,,,,,,,,,,,,,,,
Bar commun,,Dicentrarchus labrax,,Moronidés,,,,,,,,,,,,,,,,,,,,
Grémille,,Gymnocephalus cernuus,,Percidés,,,,,,,,,,,,,,,,,,,,
Perche,,Perca fluviatilis,,Percidés,,,,,,,,,,,,,,,,,,,,
Sandre,,Sander lucioperca,,Percidés,,,,,,,,,,,,,,,,,,,,
Apron du Rhône,,Zingel asper,,Percidés,,,,,,,,,,,,,,,,,,,,
Flet commun,,Platichthys flesus,,Pleuronectidés,,,,,,,,,,,,,,,,,,,,
